GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lifeline,helloworld.lifeline.controller,VolunteerController,92,7,0,0,27,2,6,2,6,2
lifeline,helloworld.lifeline.controller,DonationCampController,115,7,0,0,28,2,6,2,6,2
lifeline,helloworld.lifeline.controller,CategoryController,4,3,0,0,1,1,1,1,1,1
lifeline,helloworld.lifeline.controller,LoginController,99,47,8,0,29,5,7,3,3,3
lifeline,helloworld.lifeline.controller,SearchController,29,7,0,0,8,2,2,2,2,2
lifeline,helloworld.lifeline.misc,Logger,11,17,0,0,4,6,2,3,2,3
lifeline,helloworld.lifeline.misc,Utility,3,0,0,0,1,0,1,0,1,0
lifeline,helloworld.lifeline,Application,14,3,0,0,3,1,2,1,2,1
lifeline,helloworld.lifeline.service,VolunteerService,14,245,3,19,2,54,3,20,0,12
lifeline,helloworld.lifeline.service,CategoryService,0,73,0,2,0,18,0,6,0,5
lifeline,helloworld.lifeline.service,UserService,0,115,0,6,0,31,0,11,0,8
lifeline,helloworld.lifeline.service,DonationCampService,87,264,10,16,17,70,10,18,1,14
lifeline,helloworld.lifeline.entity,DonationCamp,53,93,7,5,16,33,9,19,3,19
lifeline,helloworld.lifeline.entity,DonationCampCategory,84,12,12,0,24,5,14,4,8,4
lifeline,helloworld.lifeline.entity,DonationCampVolunteer,47,56,7,5,14,18,11,8,5,8
lifeline,helloworld.lifeline.entity,User,47,59,7,5,12,21,9,11,3,11
lifeline,helloworld.lifeline.entity,DonationCampVolunteerPK,31,50,3,3,8,17,6,6,3,6
lifeline,helloworld.lifeline.model,VolunteerModel,0,31,0,0,0,13,0,9,0,9
lifeline,helloworld.lifeline.model,DonationCampModel,3,79,0,0,1,33,1,22,1,22
lifeline,helloworld.lifeline.model,CategoryModel,0,24,0,0,0,10,0,7,0,7
lifeline,helloworld.lifeline.model,UserModel,14,31,0,0,6,13,4,9,4,9
lifeline,helloworld.lifeline.dao,UserDao,10,61,4,6,6,14,7,6,3,5
lifeline,helloworld.lifeline.dao,VolunteerDao,23,66,0,0,7,18,4,7,4,7
lifeline,helloworld.lifeline.dao,DonationCampDao,18,82,1,1,6,21,3,9,2,9
lifeline,helloworld.lifeline.dao,CategoryDao,6,26,1,1,4,6,4,4,3,4
lifeline,helloworld.lifeline.configs,TransactionInterceptor,71,7,6,0,10,2,4,2,1,2
lifeline,helloworld.lifeline.configs,ApplicationConfiguration,77,10,0,0,18,3,3,2,3,2
